United States of America,39,41,33
People's Republic of China,38,32,18
Japan,27,14,17
Great Britain,22,21,22
ROC,20,28,23
Australia,17,7,22
Netherlands,10,12,14
France,10,12,11
Germany,10,11,16
Italy,10,10,20
Canada,7,6,11
Brazil,7,6,8
New Zealand,7,6,7
Cuba,7,3,5
Hungary,6,7,7
Republic of Korea,6,4,10
Poland,4,5,5
Czech Republic,4,4,3
Kenya,4,4,2
Norway,4,2,2
Jamaica,4,1,4
Spain,3,8,6
Sweden,3,6,0
Switzerland,3,4,6
Denmark,3,4,4
Croatia,3,3,2
Islamic Republic of Iran,3,2,2
Serbia,3,1,5
Belgium,3,1,3
Bulgaria,3,1,2
Slovenia,3,1,1
Uzbekistan,3,0,2
Georgia,2,5,1
Chinese Taipei,2,4,6
Turkey,2,2,9
Greece,2,1,1
Uganda,2,1,1
Ecuador,2,1,0
Ireland,2,0,2
Israel,2,0,2
Qatar,2,0,1
Bahamas,2,0,0
Kosovo,2,0,0
Ukraine,1,6,12
Belarus,1,3,3
Romania,1,3,0
Venezuela,1,3,0
India,1,2,4
Hong Kong China,1,2,3
Philippines,1,2,1
Slovakia,1,2,1
